Product Name,Rating,Review Text,Reviewer Name
Levi's Mens's 512 Slim Tapered Fit Jeans,5.0 out of 5 stars,Iam using this jeans one of good product. Totally satisfied
,Jafar khan
Levi's Mens's 512 Slim Tapered Fit Jeans,1.0 out of 5 stars,Don’t buy. Duplicate products
,bikash padhi
Levi's Mens's 512 Slim Tapered Fit Jeans,5.0 out of 5 stars,Iam using this jeans one of good product. Totally satisfied
,Jafar khan
Levi's Mens's 512 Slim Tapered Fit Jeans,1.0 out of 5 stars,Don’t buy. Duplicate products
,bikash padhi
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,As expected and no disappointment.
,rajesh gopal
Levi's 511 Men's Slim Fit Mid Rise Jeans,4.0 out of 5 stars,Fitting is good, good product in this price.
Fabric quality is of low GSM but does not matter if your are buying at discounted price.
,Balkrishna Verma
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,Liked it ,for price it's ok.Slightly thin compared to normal Levi's which I already have.
,Amarnath
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,If anyone thinks to have A Good Quality of Denim, choose this One by Levi's.... One of the best to have in your closet
,Arvind Shukla
Levi's 511 Men's Slim Fit Mid Rise Jeans,1.0 out of 5 stars,Quality and packaging seems of copy product , tags was also not fixed they are into pocket
,Sachin.jain
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,Good
,Kaustubh
Levi's 511 Men's Slim Fit Mid Rise Jeans,4.0 out of 5 stars,Very good jeans good fitting and everything . Only thing I didn't like was that it was only 72%cotton remaining polyester and elastane. 98 and 100 cotton will last a lot longer than this and also if some burning ash(at home fire or kiln) or something lands on it the spot will lose colour because of the polyester.
,Prateek
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,It's good looking.l like this product
,Saksham Garg
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,As expected and no disappointment.
,rajesh gopal
Levi's 511 Men's Slim Fit Mid Rise Jeans,4.0 out of 5 stars,Fitting is good, good product in this price.
Fabric quality is of low GSM but does not matter if your are buying at discounted price.
,Balkrishna Verma
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,Liked it ,for price it's ok.Slightly thin compared to normal Levi's which I already have.
,Amarnath
Levi's 511 Men's Slim Fit Mid Rise Jeans,5.0 out of 5 stars,If anyone thinks to have A Good Quality of Denim, choose this One by Levi's.... One of the best to have in your closet
,Arvind Shukla
